oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____XXXXXXXXXXXX____2024-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor
Rolltor,nicht vorhanden,53f55b54-da26-47a2-9a83-9529eb99eb66,df5cbb1e-3b07-421b-b7fd-27aa2c38d8b8,Rolltor,nicht eingestuft,n.e.,n.e.,n.e.
Rotguss-Bauteil,0cc9aee8-95a6-45bf-b581-1d982e593703,dc48d28c-1d88-4d35-bf71-1249cddd6740,8a775569-aff7-4ebf-a439-d56aebb50cd8,Rotguss-Bauteil,nicht eingestuft,n.e.,n.e.,n.e.
Sand 0/2,61655387-edd4-4800-ba3e-67bc15f2f096,8125026b-602d-47d5-9087-7470c457d10a,286b0072-1001-4e5f-baa2-282230755243,Sand 0/2,Sand,CL+,CL+,1
Sand 0/2 (getrocknet),c1b237e1-2206-4318-8d99-f023b8aeb5d6,2aff655f-5c9b-4d40-8c14-11b366aba6c9,0d027c8c-89dc-486e-8390-b4649f5e6ed8,Sand 0/2 getrocknet,Sand,CL+,CL+,1
Sanitärkeramik,nicht vorhanden,63c1d882-db0e-42cd-ba84-63adce5deb93,f1974493-0668-4b34-880b-21c3f27345bc,Sanitärkeramik,nicht eingestuft,n.e.,n.e.,n.e.
,,,,Schafwolle (mit Flammschutzmittel),Schafwolle mit Flammschutzmittel,EV-,EV-,0.75
,,,,Schafwolle (ohne Zusatzstoffe),Schafwolle,EV-,RC+,0.75
Schaumbeton Dämmplatten,nicht vorhanden,37532578-b1c0-4ed6-b209-5b4cb1b15729,9b619143-9ea3-4573-9839-b6ebd75c71a1,Schaumbeton Dämmplatten,Mineralplatte,Dep+,SV,0.75
,,,,Schaumglasgranulat Schüttung,Mineralische Dämmschüttung,SV,CL-,0.75
Schaumglas Dämmstoff,nicht vorhanden,387dcaea-adf2-4f84-a1b0-b81520126a1c,7091503e-34e5-44cd-9acb-7c2f16f6097f,Schaumglasplatten,Schaumglas,Dep+,SV,0.75
Schieferplatten,9049a94f-a527-4d87-a4b9-5a3a56f5ea19,8847396e-ce82-433d-9f65-8bc144a2a7a4,909a1f8a-00d8-436f-86f9-77e0ee840a88,"Schiefer, unhandelt",Stein unbehandelt,CL+,CL+,1
,,,,Schilfrohrdämmmatte,Schilfrohr,SV,RC+,0.5
,,,,Schilfrohrdämmmatte - Störst.kl. S4 (Neueinstufung),Schilfrohr  - verunreinigt S4,EV-,SV,0.75
,,,,Schilfrohrmatte (Putzträger),Schilfrohr,SV,RC+,0.5
Schmelzkammergranulat,d895bdb7-0dff-457e-9ad2-45662fc227f5,05655326-c0c0-4225-8ca4-987f112fc2ce,88435dab-218f-43a8-99c1-6d03df124f68,Schmelzkammergranulat; Grundstoff nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
"Schnittholz Buche (generisch, 12% Feuchte/10,7% H2O)",08bbc2e2-1513-4ce3-816e-99e95fdafc4e,47522e31-78c8-43ea-aac4-c7c9d6ca30ab,67b6c807-3924-4bc5-b983-6aeff6537e45,Schnittholz Buche ,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Buche (generisch, 12% Feuchte/10,7% H2O)",08bbc2e2-1513-4ce3-816e-99e95fdafc4e,47522e31-78c8-43ea-aac4-c7c9d6ca30ab,67b6c807-3924-4bc5-b983-6aeff6537e45,Schnittholz Buche  - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
"Schnittholz Eiche (generisch, 12% Feuchte/10.7% H2O)",7ec1d463-fd99-4b1d-9a57-9a72cac408d2,54343f3c-d101-4dd4-883f-0515c44e38de,17bcb2ce-39fd-400b-baf9-370c63589efd,Schnittholz Eiche,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Eiche (generisch, 12% Feuchte/10.7% H2O)",7ec1d463-fd99-4b1d-9a57-9a72cac408d2,54343f3c-d101-4dd4-883f-0515c44e38de,17bcb2ce-39fd-400b-baf9-370c63589efd,Schnittholz Eiche - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
"Schnittholz Fichte (generisch, 12% Feuchte/10.7% H2O)",3057d7c0-7bee-4ba2-9edf-517d4cd97a14,5f5a9cef-8b0a-4a8a-9828-9a681e5ee399,f00557bd-5b73-4624-8c7b-834db8e8b106,Schnittholz Fichte,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Fichte (generisch, 12% Feuchte/10.7% H2O)",3057d7c0-7bee-4ba2-9edf-517d4cd97a14,5f5a9cef-8b0a-4a8a-9828-9a681e5ee399,f00557bd-5b73-4624-8c7b-834db8e8b106,Schnittholz Fichte - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
"Schnittholz Kiefer (generisch, 12% Feuchte/10,7% H2O)",aea021e8-7e2f-4f6b-ae3f-a76cba4c5d6e,d171cb17-81c4-41c9-9e14-0da45be14221,0b87961e-ea66-4757-b483-229ece59cb97,Schnittholz Kiefer ,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Kiefer (generisch, 12% Feuchte/10,7% H2O)",aea021e8-7e2f-4f6b-ae3f-a76cba4c5d6e,d171cb17-81c4-41c9-9e14-0da45be14221,0b87961e-ea66-4757-b483-229ece59cb97,Schnittholz Kiefer  - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
"Schnittholz Lärche (generisch, 12% Feuchte/10,7% H2O)",8c47fba4-0e61-48d1-a03f-bf17911f0dae,9d1d96af-3f9b-41fb-bd33-43ec9e2fd1fd,9f6cf0e4-7455-4c31-a99f-552926c4040e,Schnittholz Lärche,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Lärche (generisch, 12% Feuchte/10,7% H2O)",8c47fba4-0e61-48d1-a03f-bf17911f0dae,9d1d96af-3f9b-41fb-bd33-43ec9e2fd1fd,9f6cf0e4-7455-4c31-a99f-552926c4040e,Schnittholz Lärche - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
"Schnittholz Zeder (generisch, 12% Feuchte/10,7% H2O)",d7073560-4c4b-4cb0-b6bf-a902950c5109,de1d54e8-8211-416b-9ff6-cebeb5123c71,8bed6eec-b795-4585-b036-77f4344c1cf9,Schnittholz Zeder ,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Schnittholz Zeder (generisch, 12% Feuchte/10,7% H2O)",d7073560-4c4b-4cb0-b6bf-a902950c5109,de1d54e8-8211-416b-9ff6-cebeb5123c71,8bed6eec-b795-4585-b036-77f4344c1cf9,Schnittholz Zeder  - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
Schornstein Edelstahl (Einwandig),nicht vorhanden,97baa88a-6528-41c3-8943-1ee8094645f5,fb691b3c-83f6-4a33-a3f4-a36dcaae88a3,Schornstein Edelstahl (Einwandig),nicht eingestuft,n.e.,n.e.,n.e.
Schornstein gemauert (Einzügig),nicht vorhanden,1778444e-e7a5-46dc-8260-64afe41f8a2e,e226132d-846b-4e46-8693-dfb238d35897,Schornstein gemauert (Einzügig),nicht eingestuft,n.e.,n.e.,n.e.
Schornstein gemauert (Zweizügig),nicht vorhanden,5b35df13-7d69-43a5-9532-98f62bc2f460,f45f5435-9150-44db-b297-23f1e4efb62a,Schornstein gemauert (Zweizügig),nicht eingestuft,n.e.,n.e.,n.e.
Schornstein Polypropylen (PP),nicht vorhanden,3cf1e41b-66b6-4475-b69c-8866e267a02f,b0ba5886-a611-4eb1-8b8e-3423d81d7140,Schornstein Polypropylen (PP),nicht eingestuft,n.e.,n.e.,n.e.
Schotter 16/32,bd6aa879-e6e6-4181-afc5-1374b2f32dd1,85fc79d8-ba39-4236-993e-eeb928d9ae6f,f4461491-586a-4770-9a04-716565e58c24,Schotter 16/32,Kies / Schotter / Splitt,CL+,CL+,1
Schotter 16/32 (getrocknet),de7fbcfc-0ee0-4e65-a1f9-af1551a20281,2f04b410-9ca3-4984-a9f2-8475a6e9b5c1,321a3ced-7d27-4bc0-bb6e-eb1cca5e3ccb,Schotter 16/32 (getrocknet),Kies / Schotter / Splitt,CL+,CL+,1
Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),e6b12fcd-c1fb-40d9-a9ec-d0149c3d1cd8,198043f5-de31-4fab-a300-53639b983dd1,f2552bdf-c847-4ef8-9665-c37e8ef4d44d,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),EPS - Sz. RC als Schütt.,EV-,SV,0.75
Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),e6b12fcd-c1fb-40d9-a9ec-d0149c3d1cd8,198043f5-de31-4fab-a300-53639b983dd1,f2552bdf-c847-4ef8-9665-c37e8ef4d44d,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),EPS - Sz. Energet. Beseitig.,EV-,EV-,0
Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),704177f4-78cd-47a3-b71c-07899df86615,84e317e1-9d87-4246-bd95-0777aaf2dc3f,8f6daa87-b2ee-4eb0-95e0-737ac8c6a59f,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),Schüttung organ./min. gebunden,Dep-,Dep-,0
,,,,Silikat-Dispersionsputz (mineral. Untergrund),"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
,,,,Silikatputz,organ. Putz,Dep-,Dep-,0
Silikon-Dichtmasse,bc8d8fd4-6c25-4bd6-bcbf-6f994e8e5753,f31a93c2-0132-4508-916d-14579f636fb8,c5a154b1-c5af-4c43-a1a8-51113f608131,Silikon-Dichtmasse,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..",EB,EB,0
,,,,Silikonharzputz,organ. Putz,Dep-,Dep-,0
Solaranlage Flachkollektor,nicht vorhanden,ad5f4666-dffa-45d4-abe4-fb5ab74d63e1,413ba0ce-2a78-44e2-89d2-d9adfd4e492c,Solaranlage Flachkollektor,nicht eingestuft,n.e.,n.e.,n.e.
Solaranlage Vakuumröhrenkollektor,nicht vorhanden,904204ca-cdaa-49ac-a899-4fabf8e56456,fd252d52-5d12-46dc-a124-b0276aa86f32,Solaranlage Vakuumröhrenkollektor,nicht eingestuft,n.e.,n.e.,n.e.
Sonnenschutzlammellen Aluminium,nicht vorhanden,8f414283-3fb2-4255-b721-f29bfb12e5b2,447dea90-8a8f-44f5-9451-3e15ce5fab10,Sonnenschutzlammellen Aluminium,nicht eingestuft,,,
Sonnenschutztuch,5662c927-cd47-46e5-b753-925db31b9870,3511337e-eca7-487b-b185-a819a4b238ed,8da465f1-4cc3-4984-b394-1df667dcc36e,Sonnenschutztuch,nicht eingestuft,n.e.,n.e.,n.e.
Spanplatte (generisch),60e8b384-adf2-4c3b-b3da-e407df106cf5,07a8b3de-9406-4184-bb6e-c9208983c868,0f2f2410-d9e2-4e0f-837a-987cb3186d81,Spanplatte,Holzwerkstoff - nicht beschichtet,RC+,RC+,1
Sperrholzplatte (generisch),cc180aec-8a5c-4e07-b1a0-1ab81dd746ac,f9f742db-d695-456a-9793-0636eab7df05,24b673e5-b737-4fe9-ab51-ca68391ccdd3,Sperrholzplatte,Holzwerkstoff - nicht beschichtet,RC+,RC+,1
Splitt 2/15,26ad7410-7fcb-42e8-b622-d1ba2edbf10c,d47c49c6-fb84-4b33-9710-bb442180823b,f501dc99-706c-4b15-aaec-2cca2b409b41,Splitt 2/15,Kies / Schotter / Splitt,CL+,CL+,1
Splitt 2/15 (getrocknet),7502766c-df2f-4f8d-8d45-17bb6938eac8,6e54b3c4-5399-4579-bb31-397cc271e341,08dd6b43-d77b-48fe-8c97-c68294ed4f75,Splitt 2/15 (getrocknet),Kies / Schotter / Splitt,CL+,CL+,1
,,,,"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)",Schüttung organ./min. gebunden,Dep-,Dep-,0
Splittmastixasphalt (SMA),19f46be3-d65a-441f-8d74-dfc412160cf1,78fb80c2-6d74-49fe-97fa-4d436af75106,d24a85e3-f395-4124-9874-c01f977a893f,Splittmastixasphalt SMA,Asphalt (Hochbau),Dep+,CL+,0.75
,,,,Splittschüttung mineral. geb.,Schüttung min./min. gebunden,RC-,RC-,1
Stabparkett (generisch),88619ce6-c0aa-43bd-9ac6-477b5d6ce442,96a73457-ae7d-49ff-906a-d10e6b11d82c,2b389c60-468e-4f3e-abfa-f279262ecd5d,Stabparkett,Holzwerkstoffboden,RC-,RC-,1
"Stahl Feinblech (0,3-3,0mm)",9cbdbafe-8377-46ca-a640-8e3c8fc518c0,bca0565e-ee92-4b32-939e-60c67e503390,89318772-3a50-4f56-9839-d0a8c702e396,"Stahl Feinblech (0,3-3,0mm), unverzinkt",Stahl - Stahlblech,CL+,CL+,1
Stahl Feinblech (20µm bandverzinkt),93edef71-49e3-4e1f-ba6d-1e449e7d328d,e4d32a41-ad4e-48bd-8ad9-56f50f495503,800dc37d-c3a2-4b12-b14b-54f7bc775f47,Stahl Feinblech (20µm bandverzinkt),Stahl - Stahl(blech) verzinkt,CL-,CL-,1
Stahl Schmiedebauteil,a255934e-5461-4501-9acf-20ad1b51b044,702a41a1-d009-4c7b-9f4f-cd999f9da7de,f848bd34-ac63-4b06-8ff6-080d310e414f,Stahl Schmiedebauteil,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1
Stahl warmgewalzte Bleche (2-20mm),531ab34f-6750-41a8-aedc-35cf4df3c8b1,467aee4d-03e3-4bf5-a916-8d279d5a5f29,fb5aca98-636a-4dcb-b0dd-9ed09117486e,Stahl warmgewalzte Bleche (2-20mm),Stahl - Stahlblech,CL+,CL+,1
Stahlprofil,38051c22-fbd1-4b0e-944a-ae348b8c7695,8b1ac41c-10ab-453f-a761-edf1a603aea6,755a481d-a74b-4ba0-b417-cc26767b2d50,Stahlprofil,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1
"Stahlprofil verzinkt (Elektrolichtbogenroute, hoher Schrottanteil)",nicht vorhanden,ae5396d9-2952-4eae-b216-17d56758ece0,42de525f-7c48-4722-b503-6f423b39b4f4,Stahlprofil verzinkt,Stahl - Stahl(blech) verzinkt,CL-,CL-,1
Stahlrohr,nicht vorhanden,eeda9e75-727c-474d-8c54-3982cafe07d7,3a9b06e9-50a1-44a3-b923-6b66b89d16e0,Stahlrohr,nicht eingestuft,n.e.,n.e.,n.e.
Stampflehmwand,59622fc0-d719-43bf-a16b-ae924ae0d276,3f9ebd47-f93e-4fee-859a-13700134ee3c,4b42a944-ff7e-4540-a46b-c21074255143,Stampflehmwand,Lehm,SV,CL+,0.75
Stampflehmwand,59622fc0-d719-43bf-a16b-ae924ae0d276,3f9ebd47-f93e-4fee-859a-13700134ee3c,4b42a944-ff7e-4540-a46b-c21074255143,Stampflehmwand mit CL-Nachweis,Lehm - Störstoffkl. S4 (Neueinstuf.),Dep+,Dep+,0.75
Stampflehmwand,59622fc0-d719-43bf-a16b-ae924ae0d276,3f9ebd47-f93e-4fee-859a-13700134ee3c,4b42a944-ff7e-4540-a46b-c21074255143,Stampflehmwand - Störstoffkl. S4 (Neueinstuf.),Lehm mit CL-Nachweis,CL+,CL+,1
Steckdose,nicht vorhanden,4d1aa3d8-8be7-437e-ab52-84e8616a259b,cd14449e-1231-4f12-babc-99bf9a598691,Steckdose,nicht eingestuft,n.e.,n.e.,n.e.
Steinkohleflugasche,a8640bfd-5ae3-4893-bfe8-d5ab59ec8134,b4a1794e-c12f-4594-aeed-25ea1c3574a4,90bd318e-7e72-47e7-bdfb-ed6c9309d68a,Steinkohleflugasche; Grundstoff nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Mineralwolle (Boden-Dämmung),2691d6e4-a41e-40d7-92ca-680f8785fc1d,58b1ba79-459b-4d58-bc39-91a8f98e71ba,ac779922-219f-4730-9aef-a7da84d334c1,Mineralwolle (Boden-Dämmung),Mineralwolle Steinwolle,Dep-,RC-,0.5
Mineralwolle (Fassaden-Dämmung),f8afef87-5de3-4996-838c-1f2af9ef81df,4fa62445-e59f-4874-99e5-49cec91967e0,50d421e2-3a7b-4659-92a4-f20d6a52fcf0,Mineralwolle (Fassaden-Dämmung),Mineralwolle Steinwolle,Dep-,RC-,0.5
Mineralwolle (Flachdach-Dämmung),4477c6ca-b728-41fb-a231-366e159a73df,6ef00a53-1ddc-4c60-8840-e57a860ce18b,60311c13-53d4-4cee-8777-1f9c9889b770,Mineralwolle (Flachdach-Dämmung),Mineralwolle Steinwolle,Dep-,RC-,0.5
Mineralwolle (Innenausbau-Dämmung),fafd5743-0b42-4614-8e3d-5c4eacdfba98,8808dd39-82fb-49bb-8ad3-6cb0894292ae,a5b22bbe-175d-4aef-bb19-4954e699eb8c,Mineralwolle (Innenausbau-Dämmung),Mineralwolle Steinwolle,Dep-,RC-,0.5
Mineralwolle (Schrägdach-Dämmung),86380db6-3062-4d40-826d-732c24ed3cad,cb0c2e5b-be08-47bd-badb-77ac39ae026d,d3661bd8-0107-4081-987b-4bdd5cfcb68d,Mineralwolle (Schrägdach-Dämmung),Mineralwolle Steinwolle,Dep-,RC-,0.5
Steinwolle Flachdämmplatte,nicht vorhanden,be9b6d26-6284-4fe2-ae46-bf84e0f60043,5ad90c89-55b4-495f-9879-9b19356a2d1a,Steinwolle Flachdämmplatte,Mineralwolle Steinwolle,Dep-,RC-,0.5
Steinwolle Heizungsrohrschale,nicht vorhanden,026057da-e1ae-4259-8f0b-91c917c63456,daba3305-6fa0-4035-bcd7-0e3534a01586,Steinwolle Heizungsrohrschale,Mineralwolle Steinwolle,Dep-,RC-,0.5
Steinzeugfliesen glasiert,b4a0e610-e038-47d3-b86e-cef013cd7c83,422b43de-406b-46fa-8a87-c5d446fba399,5618689c-57a8-4860-85d3-7403ad5ba201,Steinzeugfliesen glasiert,Keramik - Boden,RC-,RC-,1
Steinzeugfliesen unglasiert,bc2f9dde-f2a6-4630-bf7c-0ad3870012ef,3830f872-628b-4e3f-8370-b7c6efcfcc70,91935678-1a09-43e0-8a84-294522407ac3,Steinzeugfliesen unglasiert,Keramik - Boden,RC-,RC-,1
Steinzeugrohre DN 250,335c3c94-a981-4dbd-af2f-811e918f1b94,d69d0bdd-c003-4038-b9b1-79bceda2e956,7a1aea2e-9e9b-4aa5-b84b-37d5635733a4,Steinzeugrohre DN 250 nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Steinzeugrohre DN 400,b59f6603-c75b-47bb-b1f1-5336affb2acd,7d0b5f1b-9490-4eda-af7e-5f1a01cbd149,4c3e5ffc-6876-48a0-816a-01095fbb488d,Steinzeugrohre DN 400 nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Strohdämmung,nicht vorhanden,89ffc2cd-fb84-41df-9ebe-cda946ebf2bd,e45e2b55-a8c4-4037-bc7d-e3718c4e28f3,Strohdämmung,Strohballen,SV,SV,0
Strom-Wärmepumpe (Luft-Wasser) 10 kW,nicht vorhanden,00ab3cef-5d1b-48c8-a220-4f8ac01b7dd7,b5b68b14-f8b8-431f-b205-883b033bce6c,Strom-Wärmepumpe (Luft-Wasser) 10 kW,nicht eingestuft,n.e.,n.e.,n.e.
Strom-Wärmepumpe (Luft-Wasser) 14 kW,nicht vorhanden,19a1a962-7b4b-45e8-8446-c82a15675925,1cd6b257-a4f8-4509-a83b-492cd34c7d98,Strom-Wärmepumpe (Luft-Wasser) 14 kW,nicht eingestuft,n.e.,n.e.,n.e.
Strom-Wärmepumpe (Luft-Wasser) 7 kW,nicht vorhanden,d59feef8-7a26-499b-a9d8-7149b5d3de24,2dfb0a59-e38c-41d3-babc-56c7221d935d,Strom-Wärmepumpe (Luft-Wasser) 7 kW,nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW",nicht vorhanden,d4c60a37-2753-4f45-9bfe-4cefe31fd857,e28e6b47-1ac9-4fe1-9211-38f946c17095,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW",nicht vorhanden,c5dfadb5-96a0-44fb-ac93-3cd1c4786e96,5e4f1e37-6d24-455b-bab5-402b502b3b65,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW",nicht vorhanden,4058e075-4b05-452b-b3a8-17c2378026df,097902c3-4b7d-42ff-ac58-a03a567589a1,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW",nicht vorhanden,d939cdd6-98eb-4fcd-9e30-c77ded7a5399,c93cfa1e-0b60-403f-a66e-0e4ad88ad567,"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW",nicht vorhanden,37ca01de-bb46-4648-a937-7ac200da6142,089248b1-9744-4737-8c32-b50d227ae081,"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 70 kW",nicht vorhanden,c31b821c-214e-4f6f-894f-5f524949e51d,30cfa154-55f0-4526-bfe8-8b706efd49da,"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 70 kW",nicht eingestuft,n.e.,n.e.,n.e.
Strom-Wärmepumpe (Wasser-Wasser) 10 kW,nicht vorhanden,5b4acb87-0a01-41d7-85a6-213dec526682,b670ad50-9a1e-47b8-99d4-f9178b8988cc,Strom-Wärmepumpe (Wasser-Wasser) 10 kW,nicht eingestuft,n.e.,n.e.,n.e.
Strom-Wärmepumpe (Wasser-Wasser) 20 kW,nicht vorhanden,0cfcc4ad-1469-458b-a842-b65af7af3e85,c1da3c86-fe16-4fab-803c-6df34290d7ef,Strom-Wärmepumpe (Wasser-Wasser) 20 kW,nicht eingestuft,n.e.,n.e.,n.e.
Strom-Wärmepumpe (Wasser-Wasser) 70 kW,nicht vorhanden,9dcaae24-3f7b-45e6-8318-50ff94ef693f,cdbcfcd4-6072-41ed-8f29-28aa603b9546,Strom-Wärmepumpe (Wasser-Wasser) 70 kW,nicht eingestuft,n.e.,n.e.,n.e.
Tetrafluorethan (R134a),nicht vorhanden,6af11f95-8ce6-4226-876b-7e14d486e5ec,2c832940-1bcb-49f0-b809-912560fb03b7,Tetrafluorethan (R134a),nicht eingestuft,n.e.,n.e.,n.e.
Tetrafluorpropen (R1234ze),nicht vorhanden,570bfed7-c3e0-4dd0-acd1-c23d32070edb,b2cdfead-14cf-4819-9ce3-a8e1be8a6cb4,Tetrafluorpropen (R1234ze),nicht eingestuft,n.e.,n.e.,n.e.
"Teppichboden (mehrschichtiges Nadelvlies, 1400 g/m²)",76ab64f6-6d08-4b67-8cd7-13d26e68d95a,de899441-c205-4d7d-81db-89366a4fa01a,2aca59c3-5947-43ca-af88-e6ae6366ce3f,"Textile Fußbodenbeläge mehrschichtiges Nadelvlies (Teppichboden, 1400 g/m²)",Bodenbelag textil 100 % synthetisch,EV-,EV-,0
"Thermisch behandeltes Holz (1 m3, 409 kg/m3)",nicht vorhanden,1d2b97ed-0f6f-4a6a-acd5-ea13ff23d893,ee8691c4-00f9-4724-bb79-8043c62ce41e,Thermisch behandeltes Holz,Holz - therm. Behandelt,EV+,EV+,0
Tragdeckschicht,d84cbf6a-0a50-426f-aa3d-c45918b43575,24d554b6-a720-45a3-b80d-17a46e612f26,c6f77799-ed43-4ec4-bfc3-0759e41b60ca,Tragdeckschicht  Beton,Beton Standard (ohne Bewehr.),RC+,RC+,1
Tragdeckschicht,d84cbf6a-0a50-426f-aa3d-c45918b43575,24d554b6-a720-45a3-b80d-17a46e612f26,c6f77799-ed43-4ec4-bfc3-0759e41b60ca,Tragdeckschicht  Beton - Störstoffkl. S4 (Neueinstuf.),Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75
Tragende Wärmedämmelemente,nicht vorhanden,cc00224b-2ff6-4377-b518-c663039d6a4a,efb296ec-9a09-4344-99c7-faa3cc805541,Tragende Wärmedämmelemente,nicht eingestuft,n.e.,n.e.,n.e.
Transparente Platten PC,222023f8-36c2-4345-a863-b49828a41e96,690ebc5b-80ad-47c3-8d26-8db3504c7d81,b2ba83d3-0427-404c-8c27-f551d0a26bd3,Transparente Platten PC,KSTPlatte (zB transparente Platten),EV-,EV-,0
"Transparente Platten PMMA, extrudiert",41b8a86d-5d44-49fb-a9b8-de2a9041f1fd,eda737e1-1012-4324-aff5-d070800468ab,7a265769-b70e-4cbb-a9ac-f6af4e55f8a6,"Transparente Platten PMMA, extrudiert",KSTPlatte (zB transparente Platten),EV-,EV-,0
"Transparente Platten PMMA, gegossen",795ab193-fc50-463d-a5f8-e37d5336ee78,73f1bfa7-c79e-4129-bf1a-eee28cc3c85f,f7646e58-4d38-4bc0-b908-e4207c9f2a89,"Transparente Platten PMMA, gegossen",KSTPlatte (zB transparente Platten),EV-,EV-,0
Transparente Platten PVC,5a88b96e-23d0-4656-9ee2-fc271c89c95b,4a2a46c8-b646-4cf5-b2d7-72c2c1a27fae,2e60360a-61f1-4d86-a537-a50a3d4165ba,Transparente Platten PVC,PVC hart,SV,SV,0
Transportbeton C20/25,9702d9ab-2af2-4fdc-9d99-225583a9ffb7,923e1c71-f172-4902-a5f5-c4a1e8a773bc,e3d7a045-ee91-43ac-8fb4-a5216c65ba0b,"Transportbeton C20/25 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1
Transportbeton C20/25,9702d9ab-2af2-4fdc-9d99-225583a9ffb7,923e1c71-f172-4902-a5f5-c4a1e8a773bc,e3d7a045-ee91-43ac-8fb4-a5216c65ba0b,"Transportbeton C20/25 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75
Transportbeton C25/30,nicht vorhanden,d2ae1721-bb2a-4386-9d9f-abb1c774b0a8,a71e60a5-b64b-4715-ae8a-c8c8819149d2,"Transportbeton C25/30 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1
Transportbeton C25/30,nicht vorhanden,d2ae1721-bb2a-4386-9d9f-abb1c774b0a8,a71e60a5-b64b-4715-ae8a-c8c8819149d2,"Transportbeton C25/30 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75
Transportbeton C30/37,a758fb6a-7fb1-4cdc-b652-c42cf2f7632c,258b377e-ec3b-4e8c-b3fd-dda1eb370f7d,d6f982e3-beda-49f0-a298-694fcbf3ba38,"Transportbeton C30/37 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1
